"id","title","description","price","imag","link"
1,"Книга Boom. Что такое бумер-шутеры и как они изменили правила игры","Книга Boom. Что такое бумер-шутеры и как они изменили правила игрыВЕРНИТЕСЬ В МИР НОСТАЛЬГИИ И АДРЕНАЛИНА ЖАРКИХ ПЕРЕСТРЕЛОК! Перед вами книга, которая отправит вас в увлекательное путешествие через 50 лет видеоигровой истории и поближе познакомит с бумер-шутерами — поджанром шутеров от первого лица с богатым арсеналом оружия, ретро-стилисткой и огромной скоростью геймплея. Автор расскажет о том, как зародились бумер-шутеры, какие люди и игры развивали этот поджанр и двигали его вперед, о вступлении в эпоху 3D и влиянии на остальную игровую индустрию. Вы узнаете: • Как бумер-шутеры сформировали целое поколение геймеров. • Какие фишки и приемы изначально появились в шутерах и позже стали частью остальной индустрии. • Wolfenstein 3D и DOOM, Duke Nukem и Quake, Half-Life и Serious Sam — почему каждая из этих игр стала культовой и влюбила в себя людей. • Есть ли место олдскульным шутерам сегодня. Если вы любите ретро-игры и хотите вновь окунуться в их атмосферу, а также понять, почему бумер-шутеры стали важной частью культуры, эта книга для вас! Об авторе Даниил «Кортез» Петручик — геймер, бывший автор и редактор сайта DTF.ru и блогер-фрилансер. Автор многих статей, эссе, лонгридов и ретроспектив про видеоигры. Работал с такими изданиями, как «Мир Фантастики», «Чемпионат», VK Play. «Бумер-шутеры — это один из игровых жанров, который уже давненько нарывается на классификацию. С каких игр начинать отсчет? Какие в жанре рамки и критерии, какие проекты мы сюда вообще вписываем? Найти ответы на назревшие вопросы наконец-то помогает эта книга, которая сама как бумер-шутер: ностальгическая, дерзкая, динамичная». — Дмитрий Бурдуков, игровой журналист, автор портала Stopgame.Ru и YouTube-канала «Дмитрий Бурдуков»Быстрая доставка""Книга Boom. Что такое бумер-шутеры и как они изменили правила игры"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",33,"https://comix.by/product/kniga-boom-chto-takoe-bumer-shutery-i-kak-oni-izmenili-pravila-igry/","https:/wa-data/public/shop/products/36/27/302736/images/276196/452859973_kniga-boom-chto.jpg.200.jpg"
2,"Книга Лимбус. Том 1","Книга Лимбус. Том 1Битва между Повелителем Тысячи Вод Юань Фэнем и Владыкой Тьмы не только разрушила место единения трех миров, но и положила начало Сумеречной войне и древнему договору. Через тысячу лет настала очередь принца Бреанейна стать жертвой кровавой сделки. Его жизнь и душа предназначены Верховному Жнецу взамен на защиту мира людей от демонов. Но мог ли он представить, что встреча с сумеречным созданием способна изменить саму судьбу, протянувшись красной нитью из прошлого в будущее? Теперь от их союза зависит существование трех миров. Удастся ли им преодолеть пропасть длиною в тысячу лет и вернуться в место, с которого все началось? Вернуться в Лимбус…Быстрая доставка""Книга Лимбус. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",31,"https://comix.by/product/kniga-limbus-tom-1/","https:/wa-data/public/shop/products/33/27/302733/images/276193/452859970_kniga-limbus-tom.jpg.200.jpg"
3,"Книга Не целуй меня, Мистер Дьявол. Книга 1","Книга Не целуй меня, Мистер Дьявол. Книга 1Хань Цилу — типичный представитель «золотой молодежи». Юный дьявол обладает невероятным шармом, красивой внешностью и богатством, о котором многие могут только мечтать. Грубый и экстравагантный, он привык, что весь мир склоняется к его ногам. С другой же стороны — Ань Чуся, ставшая из?за роковых стечений обстоятельств сиротой, полная его противоположность. Она привыкла полагаться только на себя и собственные силы. У нее есть непоколебимая воля и идеалы, от которых Ань Чуся ни за что не откажется. Возненавидев друг друга с первого взгляда, Хань Цилу и Ань Чуся начали холодную войну. Место действия — Императорская академия, оружие — хлесткие слова и жестокие в своем безрассудстве действия. К чему приведет это противостояние? И кто в итоге первый кого побе… поцелует?Быстрая доставка""Книга Не целуй меня, Мистер Дьявол. Книга 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",23,"https://comix.by/product/kniga-ne-tseluy-menya-mister-dyavol-kniga-1/","https:/wa-data/public/shop/products/31/27/302731/images/276191/452859968_kniga-ne-tseluj.jpg.200.jpg"
4,"Книга Не целуй меня, Мистер Дьявол. Книга 2","Книга Не целуй меня, Мистер Дьявол. Книга 2Непростые отношения самой шумной парочки Императорской академии продолжаются! Не успев разрешить все недопонимания между собой, Хань Цилу и Ань Чуся снова оказываются в эпицентре курьезных страстей. Так еще и в интернете завирусился веб-роман «Не целуй меня, Мистер Дьявол», с ужасающей скоростью набирающий популярность. Наткнувшись на него совершенно случайно, Ань Чуся испытывает сложные эмоции. Разве главный герой не подозрительно похож на знакомого ей Дьявола Ханя? А героиня… ну точно она сама?.. В погоне за горе-писателем Ань Чуся и Хань Цилу еще больше запутываются в своих отношениях. Что значат поцелуи дьявола, сыплющиеся на нее как из рога изобилия? И можно ли верить искушающим признаниям и сладким словам все того же дьявола? Второй раунд противостояния в стенах Императорской академии начинается прямо сейчас!Быстрая доставка""Книга Не целуй меня, Мистер Дьявол. Книга 2"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",23,"https://comix.by/product/kniga-ne-tseluy-menya-mister-dyavol-kniga-2/","https:/wa-data/public/shop/products/30/27/302730/images/276190/452859966_kniga-ne-tseluj.jpg.200.jpg"
5,"Книга Белая рыба. Сказания о Бай и Ю. Персиковое дерево","Книга Белая рыба. Сказания о Бай и Ю. Персиковое деревоСяо Бай с детства страдает от неизвестной болезни. Все меняет встреча с незнакомцем, который обещает спасти его. Они путешествуют вместе, собирая фрагменты далекого прошлого… Сяо Бай вместе с друзьями отправляется в родные места, чтобы спасти своих близких и разыскать пропавшего Фэй Ю. Однако их встречают тихие опустевшие деревни и люди, обманутые шаманом и заплутавшие в собственных мыслях и сожалениях. Друзья постепенно погружаются в омут иллюзий и чужих историй, произошедших давным-давно, и пытаются помочь местным жителям защитить маленький горный храм и противостоять злым духам. Смогут ли они выбраться из ловушки шамана?Быстрая доставка""Книга Белая рыба. Сказания о Бай и Ю. Персиковое дерево"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",18,"https://comix.by/product/kniga-belaya-ryba-skazaniya-o-bay-i-yu-persikovoe-derevo/","https:/wa-data/public/shop/products/29/27/302729/images/276189/452859965_kniga-belaya-ryba.jpg.200.jpg"
6,"Книга Баллада о нефритовой кости. Книга 3","Книга Баллада о нефритовой кости. Книга 3К несчастью, нет лекарства от сожалений. Молодая княжна Чжу Янь поняла это на собственных суровых уроках. Пылающий огонь ярости в сердце молодой княжны потух после совершенной мести за любимого Юаня. Исполнив клятву, данную наставнику, она не почувствовала себя лучше. Удушающие боль и отчаяние поглотили ее, подталкивая к еще более безумным поступкам. Исправляя ошибки и упорно совершая новые, Чжу Янь ищет способ воскресить наставника. Вместе с тем все глубже увязая в тайных заговорах, уничтожающих ее родную империю Кунсан. Смерть Юаня так и не смогла остановить нависшую над миром угрозу, и Предвестник Зла вот-вот ступит на землю. Какое новое открытие Чжу Янь пошатнет баланс всего мира, затронув даже звезды?Быстрая доставка""Книга Баллада о нефритовой кости. Книга 3"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",22,"https://comix.by/product/kniga-ballada-o-nefritovoy-kosti-kniga-3/","https:/wa-data/public/shop/products/28/27/302728/images/276188/452859964_kniga-ballada-o.jpg.200.jpg"
7,"Книга Младший сын семьи чеболя. Новелла. Том 1","Книга Младший сын семьи чеболя. Новелла. Том 1Популярная новелла «Младший сын семьи чеболя», которая легла в основу одноименной корейской дорамы, имевшей невероятный успех. Одержимый местью Юн Хёну пытается завоевать доверие основателя влиятельной корпорации Сунъян, чтобы сокрушить бизнес семьи, которая его предала. Юн Хёну посвятил тринадцать лет усердной работе на крупную корпорацию Сунъян. Он выполнял любые поручения, никогда не отказывал и не задавал лишних вопросов. Юн Хёну думал, что заслужил доверие компании, пока кто-то из семьи Сунъян не приказал его убить. Когда Юн Хёну был готов встретить смерть, он внезапно очнулся в теле младшего внука основателя корпорации. Теперь он Джин Доджун, а за окном 1987 год. Юн Хёну решает воспользоваться представившимся ему шансом и отомстить, завладев компанией Сунъян. Уже зная всю историю, Джин Доджун становится советником дедушки, пока члены семьи плетут интриги друг против друга. И только холодный расчет поможет победить в нечестной игре, где на кону огромные деньги и власть. Юный внук, который не может претендовать на наследство, но способен стать богаче всех своих родственников благодаря знаниям, накопленным в прошлой жизни. Чеболи — крупные южнокорейские корпорации, находящиеся в собственности одной семьи. Новелла способна увлечь каждого! Полное погружение в историю с завораживающим антуражем периода с 1987-го до современности, множество отсылок к реальным личностям и событиям. Интрига держит в напряжении до самого конца. Софттач суперобложка и обложка на мелованной бумаге, на форзацах родословная семьи.Быстрая доставка""Книга Младший сын семьи чеболя. Новелла. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",24,"https://comix.by/product/kniga-mladshiy-syn-semi-chebolya-novella-tom-1/","https:/wa-data/public/shop/products/26/27/302726/images/276186/452859962_kniga-mladshij-syn.jpg.200.jpg"
8,"Книга Любовь короля. Том 1","Книга Любовь короля. Том 1Красивая и трогательная корейская историческая драма о любви! Милая, нежная, местами комичная и невероятно захватывающая. Необычный сеттинг! Действие книги происходит в период Корё, существовавший до воцарения династии Чосон. Экранизация! Одноименная дорама вышла в 2017 году, ее можно посмотреть в самых популярных онлайн-кинотеатрах страны. Иллюстрацию на обложку книги подготовила талантливая и популярная художница Naoki dead. Отлично подойдет всем поклонникам новелл «Сон в тысячу лет», «Ветер и Луна не подходят друг другу», «Баллада о нефритовой кости», а также сериалов «Легенда о Чжаояо», «Наша цветущая молодость», «Запрет на браки в Чосоне», «Императрица Ки» и «Солнце в объятьях луны». Корея, эпоха Корё. Прошло больше десяти лет с тех пор, как страна покорилась монгольским завоевателям. Люди вынуждены платить дань и принудительно отправлять девушек в жены к монголам. Юная Ван Сан — единственная дочь Ёнъин-бэка из королевского рода. Вот уже много лет она должна скрывать свою личность, чтобы ее не отдали в жены. Но своенравная Сан привыкла к свободе и, переодетая в мужскую одежду, часто сбегает из дома. Однажды она встречает наследного принца Вона и его лучшего друга Лина, которые спасли ее от бандитов. Принц, плененный ее красотой, предлагает девушке стать друзьями. С этого момента жизнь всех троих изменится навсегда. «Что есть любовь, а что — дружба? Юным героям романа предстоит разобраться в этих непростых вопросах и понять, готовы ли они потерять друг друга, если выбор невозможен». — Анна, the_adventures_of_AnnaБыстрая доставка""Книга Любовь короля. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",34,"https://comix.by/product/kniga-lyubov-korolya-tom-1/","https:/wa-data/public/shop/products/21/27/302721/images/276181/452859957_kniga-lyubov-korolya.jpg.200.jpg"
9,"Книга World of Warcraft. Рассвет Аспектов","Книга World of Warcraft. Рассвет АспектовЭра драконов завершилась. Древних стражей Азерота, пытающихся найти свое новое предназначение, терзают сомнения. Но труднее всех приходится Калесгосу — младшему из бывших Аспектов драконов. Разве могут он и ему подобные, потеряв свое могущество, еще хоть чем-то помочь этому миру? Ответ таится в далеком прошлом, во времени, когда небесами правили свирепые создания, называвшиеся протодраконами. Обнаружив в сердце Нордскола таинственный артефакт, Калесгос увидит происходившие в ту жестокую эпоху удивительные события из жизни первых Аспектов: Алекстразы, Изеры, Малигоса, Нелтариона и Ноздорму. Еще будучи примитивными созданиями, будущим защитникам Азерота пришлось объединиться против Галакронда — кровожадного существа, которое поставило под угрозу само существование их расы. Но неужели протодраконы боролись с этим ужасным врагом в одиночку? Или им помогла некая сторонняя сила? Достались ли им их легендарные способности просто так… или они заслужили их, проливая собственную кровь? То, что узнает Калесгос, навсегда изменит все, что он знал о событиях, с которых начался… РАССВЕТ АСПЕКТОВ.Быстрая доставка""Книга World of Warcraft. Рассвет Аспектов"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",22,"https://comix.by/product/kniga-world-of-warcraft-rassvet-aspektov/","https:/wa-data/public/shop/products/20/27/302720/images/276180/452859956_kniga-world-of.jpg.200.jpg"
10,"Книга Благие знамения. Коллекционное издание. Оформление Азирафаэля","Книга Благие знамения. Коллекционное издание. Оформление АзирафаэляМир закончится в субботу. В следующую субботу на самом деле. Где-то перед ужином. Армии Добра и Зла приведены в готовность к Армагеддону. Атлантида поднялась со дна морского. Жабы падают с небес. Четыре Всадника Апокалипсиса уже оседлали свои «Харлеи». Всё идёт по Божественному Плану... за исключением того, что младенца Антихриста подменили и потеряли сразу после рождения. А один ангел и один демон за 6000 лет полюбили жизнь среди людей — и теперь саботируют наступление Конца Света...Быстрая доставка""Книга Благие знамения. Коллекционное издание. Оформление Азирафаэля"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",30,"https://comix.by/product/kniga-blagie-znameniya-kollektsionnoe-izdanie-oformlenie-azirafaelya/","https:/wa-data/public/shop/products/16/27/302716/images/276176/452859952_kniga-blagie-znameniya.jpg.200.jpg"
11,"Книга Boom. Что такое бумер-шутеры и как они изменили правила игры","Книга Boom. Что такое бумер-шутеры и как они изменили правила игрыВЕРНИТЕСЬ В МИР НОСТАЛЬГИИ И АДРЕНАЛИНА ЖАРКИХ ПЕРЕСТРЕЛОК! Перед вами книга, которая отправит вас в увлекательное путешествие через 50 лет видеоигровой истории и поближе познакомит с бумер-шутерами — поджанром шутеров от первого лица с богатым арсеналом оружия, ретро-стилисткой и огромной скоростью геймплея. Автор расскажет о том, как зародились бумер-шутеры, какие люди и игры развивали этот поджанр и двигали его вперед, о вступлении в эпоху 3D и влиянии на остальную игровую индустрию. Вы узнаете: • Как бумер-шутеры сформировали целое поколение геймеров. • Какие фишки и приемы изначально появились в шутерах и позже стали частью остальной индустрии. • Wolfenstein 3D и DOOM, Duke Nukem и Quake, Half-Life и Serious Sam — почему каждая из этих игр стала культовой и влюбила в себя людей. • Есть ли место олдскульным шутерам сегодня. Если вы любите ретро-игры и хотите вновь окунуться в их атмосферу, а также понять, почему бумер-шутеры стали важной частью культуры, эта книга для вас! Об авторе Даниил «Кортез» Петручик — геймер, бывший автор и редактор сайта DTF.ru и блогер-фрилансер. Автор многих статей, эссе, лонгридов и ретроспектив про видеоигры. Работал с такими изданиями, как «Мир Фантастики», «Чемпионат», VK Play. «Бумер-шутеры — это один из игровых жанров, который уже давненько нарывается на классификацию. С каких игр начинать отсчет? Какие в жанре рамки и критерии, какие проекты мы сюда вообще вписываем? Найти ответы на назревшие вопросы наконец-то помогает эта книга, которая сама как бумер-шутер: ностальгическая, дерзкая, динамичная». — Дмитрий Бурдуков, игровой журналист, автор портала Stopgame.Ru и YouTube-канала «Дмитрий Бурдуков»Быстрая доставка""Книга Boom. Что такое бумер-шутеры и как они изменили правила игры"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",33,"https://comix.by/product/kniga-boom-chto-takoe-bumer-shutery-i-kak-oni-izmenili-pravila-igry/","https:/wa-data/public/shop/products/36/27/302736/images/276196/452859973_kniga-boom-chto.jpg.200.jpg"
12,"Книга Лимбус. Том 1","Книга Лимбус. Том 1Битва между Повелителем Тысячи Вод Юань Фэнем и Владыкой Тьмы не только разрушила место единения трех миров, но и положила начало Сумеречной войне и древнему договору. Через тысячу лет настала очередь принца Бреанейна стать жертвой кровавой сделки. Его жизнь и душа предназначены Верховному Жнецу взамен на защиту мира людей от демонов. Но мог ли он представить, что встреча с сумеречным созданием способна изменить саму судьбу, протянувшись красной нитью из прошлого в будущее? Теперь от их союза зависит существование трех миров. Удастся ли им преодолеть пропасть длиною в тысячу лет и вернуться в место, с которого все началось? Вернуться в Лимбус…Быстрая доставка""Книга Лимбус. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",31,"https://comix.by/product/kniga-limbus-tom-1/","https:/wa-data/public/shop/products/33/27/302733/images/276193/452859970_kniga-limbus-tom.jpg.200.jpg"
13,"Книга Не целуй меня, Мистер Дьявол. Книга 1","Книга Не целуй меня, Мистер Дьявол. Книга 1Хань Цилу — типичный представитель «золотой молодежи». Юный дьявол обладает невероятным шармом, красивой внешностью и богатством, о котором многие могут только мечтать. Грубый и экстравагантный, он привык, что весь мир склоняется к его ногам. С другой же стороны — Ань Чуся, ставшая из?за роковых стечений обстоятельств сиротой, полная его противоположность. Она привыкла полагаться только на себя и собственные силы. У нее есть непоколебимая воля и идеалы, от которых Ань Чуся ни за что не откажется. Возненавидев друг друга с первого взгляда, Хань Цилу и Ань Чуся начали холодную войну. Место действия — Императорская академия, оружие — хлесткие слова и жестокие в своем безрассудстве действия. К чему приведет это противостояние? И кто в итоге первый кого побе… поцелует?Быстрая доставка""Книга Не целуй меня, Мистер Дьявол. Книга 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",23,"https://comix.by/product/kniga-ne-tseluy-menya-mister-dyavol-kniga-1/","https:/wa-data/public/shop/products/31/27/302731/images/276191/452859968_kniga-ne-tseluj.jpg.200.jpg"
14,"Книга Не целуй меня, Мистер Дьявол. Книга 2","Книга Не целуй меня, Мистер Дьявол. Книга 2Непростые отношения самой шумной парочки Императорской академии продолжаются! Не успев разрешить все недопонимания между собой, Хань Цилу и Ань Чуся снова оказываются в эпицентре курьезных страстей. Так еще и в интернете завирусился веб-роман «Не целуй меня, Мистер Дьявол», с ужасающей скоростью набирающий популярность. Наткнувшись на него совершенно случайно, Ань Чуся испытывает сложные эмоции. Разве главный герой не подозрительно похож на знакомого ей Дьявола Ханя? А героиня… ну точно она сама?.. В погоне за горе-писателем Ань Чуся и Хань Цилу еще больше запутываются в своих отношениях. Что значат поцелуи дьявола, сыплющиеся на нее как из рога изобилия? И можно ли верить искушающим признаниям и сладким словам все того же дьявола? Второй раунд противостояния в стенах Императорской академии начинается прямо сейчас!Быстрая доставка""Книга Не целуй меня, Мистер Дьявол. Книга 2"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",23,"https://comix.by/product/kniga-ne-tseluy-menya-mister-dyavol-kniga-2/","https:/wa-data/public/shop/products/30/27/302730/images/276190/452859966_kniga-ne-tseluj.jpg.200.jpg"
15,"Книга Белая рыба. Сказания о Бай и Ю. Персиковое дерево","Книга Белая рыба. Сказания о Бай и Ю. Персиковое деревоСяо Бай с детства страдает от неизвестной болезни. Все меняет встреча с незнакомцем, который обещает спасти его. Они путешествуют вместе, собирая фрагменты далекого прошлого… Сяо Бай вместе с друзьями отправляется в родные места, чтобы спасти своих близких и разыскать пропавшего Фэй Ю. Однако их встречают тихие опустевшие деревни и люди, обманутые шаманом и заплутавшие в собственных мыслях и сожалениях. Друзья постепенно погружаются в омут иллюзий и чужих историй, произошедших давным-давно, и пытаются помочь местным жителям защитить маленький горный храм и противостоять злым духам. Смогут ли они выбраться из ловушки шамана?Быстрая доставка""Книга Белая рыба. Сказания о Бай и Ю. Персиковое дерево"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",18,"https://comix.by/product/kniga-belaya-ryba-skazaniya-o-bay-i-yu-persikovoe-derevo/","https:/wa-data/public/shop/products/29/27/302729/images/276189/452859965_kniga-belaya-ryba.jpg.200.jpg"
16,"Книга Баллада о нефритовой кости. Книга 3","Книга Баллада о нефритовой кости. Книга 3К несчастью, нет лекарства от сожалений. Молодая княжна Чжу Янь поняла это на собственных суровых уроках. Пылающий огонь ярости в сердце молодой княжны потух после совершенной мести за любимого Юаня. Исполнив клятву, данную наставнику, она не почувствовала себя лучше. Удушающие боль и отчаяние поглотили ее, подталкивая к еще более безумным поступкам. Исправляя ошибки и упорно совершая новые, Чжу Янь ищет способ воскресить наставника. Вместе с тем все глубже увязая в тайных заговорах, уничтожающих ее родную империю Кунсан. Смерть Юаня так и не смогла остановить нависшую над миром угрозу, и Предвестник Зла вот-вот ступит на землю. Какое новое открытие Чжу Янь пошатнет баланс всего мира, затронув даже звезды?Быстрая доставка""Книга Баллада о нефритовой кости. Книга 3"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",22,"https://comix.by/product/kniga-ballada-o-nefritovoy-kosti-kniga-3/","https:/wa-data/public/shop/products/28/27/302728/images/276188/452859964_kniga-ballada-o.jpg.200.jpg"
17,"Книга Младший сын семьи чеболя. Новелла. Том 1","Книга Младший сын семьи чеболя. Новелла. Том 1Популярная новелла «Младший сын семьи чеболя», которая легла в основу одноименной корейской дорамы, имевшей невероятный успех. Одержимый местью Юн Хёну пытается завоевать доверие основателя влиятельной корпорации Сунъян, чтобы сокрушить бизнес семьи, которая его предала. Юн Хёну посвятил тринадцать лет усердной работе на крупную корпорацию Сунъян. Он выполнял любые поручения, никогда не отказывал и не задавал лишних вопросов. Юн Хёну думал, что заслужил доверие компании, пока кто-то из семьи Сунъян не приказал его убить. Когда Юн Хёну был готов встретить смерть, он внезапно очнулся в теле младшего внука основателя корпорации. Теперь он Джин Доджун, а за окном 1987 год. Юн Хёну решает воспользоваться представившимся ему шансом и отомстить, завладев компанией Сунъян. Уже зная всю историю, Джин Доджун становится советником дедушки, пока члены семьи плетут интриги друг против друга. И только холодный расчет поможет победить в нечестной игре, где на кону огромные деньги и власть. Юный внук, который не может претендовать на наследство, но способен стать богаче всех своих родственников благодаря знаниям, накопленным в прошлой жизни. Чеболи — крупные южнокорейские корпорации, находящиеся в собственности одной семьи. Новелла способна увлечь каждого! Полное погружение в историю с завораживающим антуражем периода с 1987-го до современности, множество отсылок к реальным личностям и событиям. Интрига держит в напряжении до самого конца. Софттач суперобложка и обложка на мелованной бумаге, на форзацах родословная семьи.Быстрая доставка""Книга Младший сын семьи чеболя. Новелла. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",24,"https://comix.by/product/kniga-mladshiy-syn-semi-chebolya-novella-tom-1/","https:/wa-data/public/shop/products/26/27/302726/images/276186/452859962_kniga-mladshij-syn.jpg.200.jpg"
18,"Книга Любовь короля. Том 1","Книга Любовь короля. Том 1Красивая и трогательная корейская историческая драма о любви! Милая, нежная, местами комичная и невероятно захватывающая. Необычный сеттинг! Действие книги происходит в период Корё, существовавший до воцарения династии Чосон. Экранизация! Одноименная дорама вышла в 2017 году, ее можно посмотреть в самых популярных онлайн-кинотеатрах страны. Иллюстрацию на обложку книги подготовила талантливая и популярная художница Naoki dead. Отлично подойдет всем поклонникам новелл «Сон в тысячу лет», «Ветер и Луна не подходят друг другу», «Баллада о нефритовой кости», а также сериалов «Легенда о Чжаояо», «Наша цветущая молодость», «Запрет на браки в Чосоне», «Императрица Ки» и «Солнце в объятьях луны». Корея, эпоха Корё. Прошло больше десяти лет с тех пор, как страна покорилась монгольским завоевателям. Люди вынуждены платить дань и принудительно отправлять девушек в жены к монголам. Юная Ван Сан — единственная дочь Ёнъин-бэка из королевского рода. Вот уже много лет она должна скрывать свою личность, чтобы ее не отдали в жены. Но своенравная Сан привыкла к свободе и, переодетая в мужскую одежду, часто сбегает из дома. Однажды она встречает наследного принца Вона и его лучшего друга Лина, которые спасли ее от бандитов. Принц, плененный ее красотой, предлагает девушке стать друзьями. С этого момента жизнь всех троих изменится навсегда. «Что есть любовь, а что — дружба? Юным героям романа предстоит разобраться в этих непростых вопросах и понять, готовы ли они потерять друг друга, если выбор невозможен». — Анна, the_adventures_of_AnnaБыстрая доставка""Книга Любовь короля. Том 1"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",34,"https://comix.by/product/kniga-lyubov-korolya-tom-1/","https:/wa-data/public/shop/products/21/27/302721/images/276181/452859957_kniga-lyubov-korolya.jpg.200.jpg"
19,"Книга World of Warcraft. Рассвет Аспектов","Книга World of Warcraft. Рассвет АспектовЭра драконов завершилась. Древних стражей Азерота, пытающихся найти свое новое предназначение, терзают сомнения. Но труднее всех приходится Калесгосу — младшему из бывших Аспектов драконов. Разве могут он и ему подобные, потеряв свое могущество, еще хоть чем-то помочь этому миру? Ответ таится в далеком прошлом, во времени, когда небесами правили свирепые создания, называвшиеся протодраконами. Обнаружив в сердце Нордскола таинственный артефакт, Калесгос увидит происходившие в ту жестокую эпоху удивительные события из жизни первых Аспектов: Алекстразы, Изеры, Малигоса, Нелтариона и Ноздорму. Еще будучи примитивными созданиями, будущим защитникам Азерота пришлось объединиться против Галакронда — кровожадного существа, которое поставило под угрозу само существование их расы. Но неужели протодраконы боролись с этим ужасным врагом в одиночку? Или им помогла некая сторонняя сила? Достались ли им их легендарные способности просто так… или они заслужили их, проливая собственную кровь? То, что узнает Калесгос, навсегда изменит все, что он знал о событиях, с которых начался… РАССВЕТ АСПЕКТОВ.Быстрая доставка""Книга World of Warcraft. Рассвет Аспектов"" за8 рублейпо Минску (курьер) и Беларуси (наложенный платеж).",22,"https://comix.by/product/kniga-world-of-warcraft-rassvet-aspektov/","https:/wa-data/public/shop/products/20/27/302720/images/276180/452859956_kniga-world-of.jpg.200.jpg"
